subject_id,age_months,gender,height_inches,weight_lbs,leg_length_inches,speed_m_per_sec,group
1,40,M,40.5,43,23.0,1.0428899999999999,Young
2,45,F,40.0,35,20.0,1.05322,Young
3,47,F,39.5,35,21.0,0.9895299999999999,Young
4,48,M,40.0,37,20.0,1.0155100000000001,Young
5,49,M,39.0,36,20.0,0.8246100000000001,Young
6,49,F,40.0,30,21.0,1.00591,Young
7,52,F,43.0,50,22.0,1.02284,Young
8,52,F,41.0,34,21.0,0.89579,Young
9,54,F,41.5,37,20.0,1.1377,Young
10,54,M,44.0,41,22.0,1.05846,Young
11,58,M,45.0,40,23.0,0.9091899999999999,Young
12,61,F,40.0,49,19.5,0.87913,Young-Middle
13,62,F,47.0,52,25.0,0.9111299999999999,Young-Middle
14,68,M,45.0,37,24.0,1.09948,Young-Middle
15,79,M,51.5,60,27.0,1.49298,Young-Middle
16,79,M,50.0,54,23.0,1.17867,Middle
17,80,M,47.5,50,24.5,1.32969,Middle
18,80,M,48.5,52,25.0,1.26637,Middle
19,81,M,51.0,62,26.0,1.00829,Middle
20,82,F,42.0,39,21.0,1.22977,Middle
21,83,M,51.0,64,25.0,1.09665,Middle
22,85,F,50.0,60,25.0,1.26261,Middle
23,85,F,47.0,46,23.5,1.28939,Middle
24,87,F,47.0,45,25.0,1.1377,Middle
25,87,M,51.0,72,25.0,1.11097,Middle
26,88,F,48.0,55,24.5,1.23333,Middle
27,89,M,51.0,53,26.0,1.12269,Middle
28,89,M,50.0,57,26.0,1.05322,Middle
29,90,M,48.0,48,25.5,1.0882399999999999,Middle
30,91,F,52.0,75,30.0,1.27778,Middle
31,91,F,50.0,62,25.0,1.36378,Middle
32,92,F,49.0,55,24.0,1.1469,Middle
33,92,F,51.5,58,28.0,1.26637,Middle
34,94,F,48.0,45,28.5,1.07722,Middle
35,101,F,54.0,60,26.0,1.07179,Middle-Old
36,129,F,56.0,70,33.0,1.41362,Middle-Old
37,130,M,56.0,78,27.0,1.17541,Middle-Old
38,130,F,58.0,89,32.0,1.30923,Middle-Old
39,133,F,60.0,88,33.0,1.26261,Middle-Old
40,134,F,61.0,104,31.0,1.1952200000000002,Old
41,138,F,59.0,89,31.0,1.11097,Old
42,138,M,59.0,84,28.0,1.3214299999999999,Old
43,139,M,58.0,81,30.5,1.28939,Old
44,139,F,55.0,80,28.0,1.35942,Old
45,142,M,58.0,80,29.0,1.32969,Old
46,148,M,64.0,90,33.0,1.3465200000000002,Old
47,148,M,59.5,90,29.0,1.47743,Old
48,153,M,64.0,113,31.0,1.23333,Old
49,158,M,64.0,130,33.0,1.25516,Old
50,163,M,70.0,143,37.0,1.21571,Old
