subject_id,time,stride_interval
1,4.0433,0.85
1,5.1533,1.11
1,6.1,0.9467
1,8.8533,2.7533
1,9.9633,1.11
1,11.06,1.0967
1,12.04,0.98
1,13.08,1.04
1,14.11,1.03
1,15.13,1.02
1,16.1033,0.9733
1,17.02,0.9167
1,18.0067,0.9867
1,18.95,0.9433
1,19.8767,0.9267
1,20.8267,0.95
1,21.74,0.9133
1,22.6367,0.8967
1,23.5167,0.88
1,24.3233,0.8067
1,25.2,0.8767
1,26.0967,0.8967
1,26.9533,0.8567
1,27.83,0.8767
1,28.6833,0.8533
1,29.49,0.8067
1,30.3367,0.8467
1,31.1933,0.8567
1,32.06,0.8667
1,32.9467,0.8867
1,33.8467,0.9
1,34.7833,0.9367
1,35.6367,0.8533
1,36.5733,0.9367
1,37.47,0.8967
1,38.37,0.9
1,39.28,0.91
1,40.17,0.89
1,41.0767,0.9067
1,42.0033,0.9267
1,42.9533,0.95
1,43.85,0.8967
1,44.7867,0.9367
1,45.7667,0.98
1,46.7033,0.9367
1,47.6433,0.94
1,48.5267,0.8833
1,49.3933,0.8667
1,50.26,0.8667
1,51.12,0.86
1,52.01,0.89
1,52.9033,0.8933
1,53.82,0.9167
1,54.7067,0.8867
1,55.5633,0.8567
1,56.47,0.9067
1,57.4467,0.9767
1,58.32,0.8733
1,59.21,0.89
1,60.1233,0.9133
1,61.0533,0.93
1,61.96,0.9067
1,62.9033,0.9433
1,63.7667,0.8633
1,64.64,0.8733
1,65.4833,0.8433
1,66.3767,0.8933
1,67.27,0.8933
1,68.1367,0.8667
1,69.0,0.8633
1,69.83,0.83
1,70.6767,0.8467
1,71.57,0.8933
1,72.4767,0.9067
1,73.4033,0.9267
1,74.2733,0.87
1,75.1433,0.87
1,76.0233,0.88
1,76.8833,0.86
1,77.7667,0.8833
1,78.6233,0.8567
1,79.48,0.8567
1,80.3033,0.8233
1,81.15,0.8467
1,81.9933,0.8433
1,82.85,0.8567
1,83.7267,0.8767
1,84.5933,0.8667
1,85.4667,0.8733
1,86.3633,0.8967
1,87.2167,0.8533
1,88.09,0.8733
1,88.9433,0.8533
1,89.7667,0.8233
1,90.6233,0.8567
1,91.4833,0.86
1,92.33,0.8467
1,93.1667,0.8367
1,94.08,0.9133
1,94.9833,0.9033
1,95.86,0.8767
1,96.7433,0.8833
1,97.6267,0.8833
1,98.4567,0.83
1,99.34,0.8833
1,100.27,0.93
1,101.13,0.86
1,102.09,0.96
1,103.0133,0.9233
1,103.9667,0.9533
1,104.9167,0.95
1,105.83,0.9133
1,106.7767,0.9467
1,107.6833,0.9067
1,108.57,0.8867
1,109.4467,0.8767
1,110.2767,0.83
1,111.0833,0.8067
1,111.95,0.8667
1,112.8833,0.9333
1,113.7667,0.8833
1,114.6133,0.8467
1,115.4833,0.87
1,116.3467,0.8633
1,117.2233,0.8767
1,118.09,0.8667
1,118.9433,0.8533
1,119.78,0.8367
1,120.6767,0.8967
1,121.5267,0.85
1,122.38,0.8533
1,123.1767,0.7967
1,124.0633,0.8867
1,124.96,0.8967
1,125.85,0.89
1,126.7467,0.8967
1,127.63,0.8833
1,128.53,0.9
1,129.4133,0.8833
1,130.31,0.8967
1,131.21,0.9
1,132.0733,0.8633
1,132.8633,0.79
1,133.7533,0.89
1,134.63,0.8767
1,135.48,0.85
1,136.35,0.87
1,137.2267,0.8767
1,138.1133,0.8867
1,139.0033,0.89
1,139.93,0.9267
1,140.8,0.87
1,141.7433,0.9433
1,142.6033,0.86
1,143.56,0.9567
1,144.4733,0.9133
1,145.36,0.8867
1,146.2367,0.8767
1,147.0867,0.85
1,147.98,0.8933
1,148.89,0.91
1,149.7933,0.9033
1,150.7167,0.9233
1,151.6933,0.9767
1,152.6267,0.9333
1,153.55,0.9233
1,154.4233,0.8733
1,155.2633,0.84
1,156.0967,0.8333
1,156.93,0.8333
1,157.7967,0.8667
1,158.6767,0.88
1,159.6,0.9233
1,160.54,0.94
1,161.45,0.91
1,162.3867,0.9367
1,163.3433,0.9567
1,164.23,0.8867
